Instance, Time, BestCost
./instances/eil76.tsp,2.91465,17976
./instances/eil76.tsp,3.01426,18113
./instances/eil76.tsp,3.10501,17976
./instances/eil76.tsp,2.28506,17976
./instances/eil76.tsp,2.2632,17976
./instances/eil76.tsp,3.88287,17976
./instances/eil76.tsp,2.92755,18043
./instances/hk48.tsp,0.379136,247926
./instances/hk48.tsp,0.387275,247926
./instances/hk48.tsp,0.343153,247926
./instances/hk48.tsp,0.370004,247926
./instances/hk48.tsp,0.346747,247926
./instances/hk48.tsp,0.339236,247926
./instances/hk48.tsp,0.341125,247926
./instances/hk48.tsp,0.346663,247926
./instances/hk48.tsp,0.405116,247926
./instances/hk48.tsp,0.392064,247926
./instances/hk48.tsp,0.335304,247926
./instances/hk48.tsp,0.340894,247926
./instances/hk48.tsp,0.342829,247926
./instances/hk48.tsp,0.360292,247926
./instances/hk48.tsp,0.356987,247926
./instances/hk48.tsp,0.361053,247926
./instances/hk48.tsp,0.313284,247926
./instances/hk48.tsp,0.312663,247926
./instances/hk48.tsp,0.312634,247926
./instances/hk48.tsp,0.316874,247926
./instances/st70.tsp,1.97106,20557
./instances/st70.tsp,1.66808,20557
./instances/st70.tsp,1.9048,20557
./instances/st70.tsp,1.50709,20557
./instances/st70.tsp,1.53141,20557
./instances/st70.tsp,2.12003,20557
./instances/st70.tsp,2.39295,20557
./instances/st70.tsp,1.88876,20557
./instances/st70.tsp,1.98702,20557
./instances/st70.tsp,2.12445,20557
./instances/st70.tsp,1.8963,20557
./instances/st70.tsp,2.30794,20557
./instances/st70.tsp,2.18828,20557
./instances/st70.tsp,2.24687,20557
./instances/st70.tsp,2.21274,20557
./instances/st70.tsp,2.30076,20557
./instances/st70.tsp,1.87897,20557
./instances/st70.tsp,2.67478,20557
./instances/st70.tsp,1.57397,20557
./instances/st70.tsp,2.03529,20557
./instances/berlin52.tsp,0.490021,143721
./instances/berlin52.tsp,0.568107,143721
./instances/berlin52.tsp,0.521156,143721
./instances/berlin52.tsp,0.421568,143721
./instances/berlin52.tsp,0.386984,143721
./instances/berlin52.tsp,0.449069,143721
./instances/berlin52.tsp,0.445921,143721
./instances/berlin52.tsp,0.464231,143721
./instances/berlin52.tsp,0.473161,143721
./instances/berlin52.tsp,0.488105,143721
./instances/berlin52.tsp,0.490676,143721
